Nama;Gender;Tinggal_Dengan;Status_Kerja;Biaya;Tgl_Daftar_Kuliah;Alamat;UKM;Organisasi_Kampus;Lama_Kuliah;Fakultas
Abdul Veale;Wanita;Orang Tua;Belum;NA;2008;Karawang;UKM_2;Ya;6;FIKOM
Abdul Wade;Wanita;Kos;Belum;Orang Tua;2009;Karawang;Tidak;Tidak;5;FTI
Abdul Walker;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_1;Tidak;3,5;FISIP
Abdul Watson;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;UKM_4;Tidak;5,5;FIKOM
Abdul Wooldridge;Pria;Kos;Belum;Beasiswa;2009;Bekasi;UKM_4;Ya;3,5;FTI
Abdul Wright;Pria;Kos;Bekerja;NA;2007;Jakarta;UKM_4;Tidak;3,5;FIKOM
Abdul York;Pria;Orang Tua;Belum;NA;2009;Tangerang;UKM_3;Tidak;6,5;FTI
Ada Casey;Wanita;NA;Bekerja;Beasiswa;2009;Bekasi;UKM_1;Ya;7;FTI
Ada Craig;Pria;NA;Bekerja;Orang Tua;2009;Bogor;UKM_3;Ya;5,5;FISIP
Ada Gibbons;Pria;Orang Tua;Belum;Orang Tua;2007;Tangerang;UKM_1;Ya;5;FIKOM
Ada Lakey;Pria;Orang Tua;Bekerja;Beasiswa;2009;Serang;UKM_1;Ya;7;FT
Ada Neville;Pria;Orang Tua;Bekerja;Beasiswa;2008;Jakarta;UKM_1;Tidak;7;DKV
Ada Robertson;Pria;Orang Tua;Bekerja;Orang Tua;2007;Bogor;UKM_1;Tidak;5,5;DKV
Ada Thomas;Wanita;NA;Belum;Beasiswa;2008;Bogor;Tidak;Ya;5,5;FTI
Ada Vince;Wanita;Kos;Belum;NA;2007;Jakarta;UKM_2;Ya;7;FTI
Ada Whatson;Wanita;Kos;Bekerja;Orang Tua;2009;Bogor;UKM_4;Ya;5,5;FISIP
Adalie Ellis;Wanita;Orang Tua;Belum;Orang Tua;2008;Jakarta;UKM_3;Tidak;6;FT
Adalie Harris;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Karawang;Tidak;Ya;6,5;FISIP
Adalie Hilton;Wanita;NA;Bekerja;Beasiswa;2009;Bogor;Tidak;Ya;5,5;DKV
Adalie Oliver;Wanita;Orang Tua;Bekerja;NA;2008;Bogor;UKM_2;Ya;4;FT
Adalie Patel;Pria;Kos;Bekerja;Beasiswa;2008;Tangerang;UKM_1;Ya;4,5;FT
Adalie Reid;Wanita;Kos;Bekerja;Beasiswa;2008;Serang;UKM_2;Ya;6,5;FTI
Adalie Richardson;Wanita;NA;Belum;NA;2007;Bogor;Tidak;Ya;3,5;DKV
Adalie Vaughn;Wanita;Kos;Bekerja;Orang Tua;2009;Bogor;UKM_3;Tidak;5;FISIP
Adalie Ventura;Pria;NA;Bekerja;Orang Tua;2008;Bekasi;UKM_3;Ya;5,5;FT
Adalie Wade;Pria;Kos;Bekerja;Beasiswa;2009;Karawang;UKM_3;Ya;6,5;DKV
Adalie Warner;Wanita;Kos;Bekerja;Beasiswa;2008;Tangerang;UKM_1;Tidak;7;FISIP
Adalie Wren;Pria;NA;Bekerja;Orang Tua;2007;Bekasi;Tidak;Ya;5;FTI
Adalind Ashwell;Pria;NA;Bekerja;Orang Tua;2008;Bogor;UKM_2;Tidak;5;FISIP
Adalind Bell;Wanita;NA;Bekerja;NA;2009;Tangerang;UKM_1;Ya;3,5;FISIP
Adalind Bryant;Pria;Kos;Bekerja;NA;2009;Jakarta;Tidak;Ya;3,5;FTI
Adalind Butler;Pria;Kos;Belum;NA;2009;Bogor;UKM_2;Ya;4,5;FT
Adalind Camden;Pria;Kos;Bekerja;Beasiswa;2008;Karawang;UKM_4;Ya;3,5;FTI
Adalind Cunningham;Pria;Orang Tua;Belum;Beasiswa;2007;Karawang;UKM_4;Ya;4,5;FISIP
Adalind Dixon;Pria;NA;Bekerja;Orang Tua;2009;Serang;UKM_2;Tidak;4;FISIP
Adalind Fleming;Pria;Orang Tua;Belum;NA;2009;Tangerang;UKM_3;Ya;6;FISIP
Adalind Freeburn;Pria;Kos;Belum;Orang Tua;2009;Bekasi;UKM_3;Tidak;7;DKV
Adalind Gordon;Pria;NA;Bekerja;Orang Tua;2009;Serang;UKM_4;Tidak;7;DKV
Adalind Henderson;Wanita;NA;Belum;Beasiswa;2009;Tangerang;UKM_1;Tidak;4,5;FISIP
Adalind Mackenzie;Wanita;Kos;Bekerja;Orang Tua;2007;Tangerang;UKM_4;Ya;6,5;FT
Adalind Moore;Wanita;NA;Bekerja;Beasiswa;2007;Bogor;UKM_1;Ya;6,5;FT
Adalind Neville;Pria;NA;Belum;Beasiswa;2008;Karawang;UKM_4;Tidak;6,5;FTI
Adalind Parker;Pria;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_2;Ya;7;FT
Adalind Richards;Wanita;NA;Belum;NA;2008;Bekasi;UKM_3;Tidak;4,5;DKV
Adalind Victor;Wanita;Orang Tua;Bekerja;Beasiswa;2008;Bekasi;UKM_3;Tidak;7;FT
Adalind Warden;Wanita;Orang Tua;Belum;Orang Tua;2009;Jakarta;UKM_3;Ya;5;DKV
Adela Butler;Wanita;NA;Belum;NA;2007;Karawang;UKM_2;Ya;5,5;FT
Adela Chadwick;Pria;Orang Tua;Belum;NA;2008;Tangerang;Tidak;Tidak;5;FIKOM
Adela Hastings;Pria;Orang Tua;Belum;Beasiswa;2008;Bekasi;Tidak;Tidak;4;DKV
Adela Hunt;Wanita;Kos;Bekerja;NA;2008;Bekasi;UKM_3;Tidak;4;FT
Adela Lloyd;Pria;Kos;Bekerja;NA;2007;Bogor;UKM_1;Ya;5,5;DKV
Adela Ranks;Wanita;Kos;Belum;Orang Tua;2009;Serang;UKM_2;Tidak;3,5;DKV
Adela Russell;Wanita;Kos;Bekerja;NA;2008;Bekasi;UKM_4;Ya;3,5;FIKOM
Adela Saunders;Wanita;Orang Tua;Belum;Orang Tua;2009;Serang;UKM_1;Tidak;6;FTI
Adela Stanley;Wanita;NA;Belum;NA;2008;Karawang;UKM_3;Tidak;5;FIKOM
Adelaide Drummond;Wanita;Orang Tua;Belum;NA;2007;Karawang;UKM_3;Tidak;3,5;DKV
Adelaide Evans;Pria;Kos;Belum;NA;2009;Karawang;Tidak;Tidak;4;FISIP
Adelaide Farrant;Wanita;Kos;Belum;Orang Tua;2009;Bogor;UKM_1;Tidak;5,5;FT
Adelaide Hooper;Pria;Kos;Bekerja;Beasiswa;2008;Tangerang;Tidak;Tidak;6,5;FISIP
Adelaide Matthews;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;Tidak;Tidak;5;FTI
Adelaide Oakley;Pria;NA;Bekerja;Orang Tua;2008;Bogor;UKM_1;Tidak;5;FIKOM
Adelaide Quinnell;Pria;Kos;Bekerja;NA;2008;Serang;UKM_2;Tidak;5,5;FISIP
Adelaide Villiger;Wanita;NA;Belum;Beasiswa;2009;Karawang;UKM_4;Ya;3,5;FTI
Adeline Adams;Wanita;NA;Bekerja;Beasiswa;2009;Karawang;UKM_1;Ya;5;DKV
Adeline Morley;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Bekasi;UKM_4;Ya;7;FT
Adeline Nelson;Pria;NA;Belum;NA;2007;Jakarta;UKM_2;Tidak;5;FT
Adeline Newman;Wanita;Orang Tua;Belum;NA;2007;Karawang;UKM_1;Tidak;4,5;FISIP
Adeline Simpson;Pria;NA;Belum;Beasiswa;2008;Bogor;UKM_4;Tidak;4;DKV
Adeline Varley;Wanita;NA;Bekerja;Beasiswa;2007;Serang;UKM_2;Ya;4,5;FIKOM
Adina Avery;Wanita;Kos;Bekerja;NA;2008;Bogor;UKM_4;Ya;4,5;FT
Adina Bailey;Pria;Kos;Bekerja;NA;2008;Serang;UKM_1;Ya;5,5;FTI
Adina Chappell;Wanita;Orang Tua;Belum;Orang Tua;2008;Bekasi;UKM_2;Tidak;5;FIKOM
Adina Collins;Pria;Kos;Belum;Beasiswa;2007;Karawang;UKM_1;Ya;5;FT
Adina Faulkner;Pria;Kos;Belum;Orang Tua;2009;Tangerang;UKM_2;Tidak;5;FT
Adina Forth;Wanita;NA;Bekerja;NA;2009;Karawang;UKM_1;Ya;4,5;FISIP
Adina Gray;Wanita;NA;Belum;Orang Tua;2009;Karawang;UKM_3;Tidak;6;DKV
Adina Jobson;Wanita;Orang Tua;Belum;Beasiswa;2009;Karawang;UKM_1;Ya;6;FISIP
Adina Kelly;Pria;NA;Bekerja;Orang Tua;2008;Tangerang;UKM_1;Ya;5,5;FTI
Adina Mason;Pria;NA;Belum;Orang Tua;2007;Tangerang;Tidak;Ya;5,5;DKV
Adina Morris;Pria;NA;Bekerja;Beasiswa;2009;Karawang;UKM_2;Tidak;5,5;FISIP
Adina Morrison;Pria;Orang Tua;Bekerja;NA;2008;Karawang;UKM_1;Ya;4;FT
Adina Parsons;Wanita;Kos;Belum;Beasiswa;2007;Bogor;UKM_1;Ya;4;FTI
Adina Phillips;Wanita;Orang Tua;Belum;Beasiswa;2007;Bekasi;UKM_3;Tidak;5,5;DKV
Adina Plant;Pria;NA;Belum;NA;2007;Bogor;UKM_2;Tidak;4,5;FIKOM
Adina Preston;Pria;NA;Belum;NA;2007;Bekasi;UKM_3;Tidak;6,5;FISIP
Adina Richardson;Pria;Orang Tua;Belum;Orang Tua;2009;Jakarta;Tidak;Ya;5,5;FT
Adina Roberts;Wanita;Orang Tua;Belum;NA;2007;Jakarta;UKM_1;Ya;5,5;DKV
Adina Shaw;Pria;Orang Tua;Bekerja;Beasiswa;2008;Tangerang;Tidak;Tidak;4;FTI
Adina Stone;Wanita;NA;Belum;NA;2007;Jakarta;UKM_1;Ya;5,5;FT
Adina Vollans;Wanita;Kos;Belum;Beasiswa;2007;Karawang;Tidak;Tidak;6;FIKOM
Adina Walsh;Wanita;NA;Bekerja;Beasiswa;2009;Bogor;Tidak;Ya;4;FT
Aeris Greenwood;Pria;Orang Tua;Bekerja;Orang Tua;2009;Bekasi;UKM_2;Ya;6;FISIP
Aeris Hood;Pria;NA;Bekerja;Beasiswa;2008;Bekasi;UKM_4;Ya;5,5;FISIP
Aeris Horton;Wanita;NA;Bekerja;Beasiswa;2008;Bogor;UKM_1;Tidak;5,5;FTI
Aeris Mccormick;Wanita;Orang Tua;Bekerja;NA;2009;Bekasi;UKM_1;Tidak;7;FTI
Aeris Moore;Wanita;Kos;Belum;Beasiswa;2007;Bekasi;UKM_1;Tidak;7;FTI
Aeris Rixon;Pria;NA;Belum;NA;2009;Karawang;UKM_4;Tidak;5;FTI
Aeris Wills;Wanita;Kos;Bekerja;NA;2007;Serang;UKM_4;Ya;5;FIKOM
Agnes Beal;Wanita;Kos;Belum;Orang Tua;2009;Serang;UKM_2;Tidak;3,5;FISIP
Agnes Bradshaw;Wanita;NA;Bekerja;Orang Tua;2009;Karawang;Tidak;Ya;4;FTI
Agnes Bright;Wanita;NA;Belum;NA;2008;Karawang;UKM_4;Tidak;3,5;FISIP
Agnes Donovan;Pria;Kos;Bekerja;Orang Tua;2009;Karawang;UKM_4;Tidak;6,5;FTI
Agnes Eddison;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Jakarta;UKM_3;Tidak;7;DKV
Agnes Griffiths;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Serang;UKM_1;Ya;4;FT
Agnes Irving;Wanita;NA;Belum;Beasiswa;2009;Tangerang;UKM_4;Ya;3,5;FTI
Agnes Lewis;Wanita;Orang Tua;Bekerja;NA;2009;Bekasi;Tidak;Ya;6,5;DKV
Agnes Maxwell;Pria;Kos;Belum;Orang Tua;2007;Bekasi;Tidak;Ya;7;DKV
Agnes Nurton;Pria;NA;Belum;Beasiswa;2009;Jakarta;UKM_3;Ya;5;FTI
Agnes Owen;Pria;NA;Belum;Beasiswa;2007;Tangerang;UKM_4;Tidak;5;DKV
Agnes Ross;Pria;Kos;Belum;Orang Tua;2008;Bekasi;Tidak;Ya;6,5;FIKOM
Agnes Russell;Pria;NA;Bekerja;Beasiswa;2007;Tangerang;UKM_4;Tidak;4;FIKOM
Agnes Veale;Pria;NA;Belum;Orang Tua;2009;Bekasi;UKM_4;Ya;3,5;DKV
Agnes Watt;Pria;NA;Bekerja;NA;2009;Bekasi;UKM_3;Ya;3,5;DKV
Agnes Wilkinson;Pria;NA;Bekerja;NA;2008;Karawang;Tidak;Ya;6,5;FTI
Agnes Woods;Wanita;NA;Belum;Orang Tua;2009;Serang;UKM_1;Tidak;6,5;FT
Aiden Archer;Pria;Orang Tua;Bekerja;Beasiswa;2009;Bogor;UKM_1;Tidak;4,5;DKV
Aiden Bailey;Wanita;Orang Tua;Belum;NA;2007;Serang;UKM_4;Ya;6;FT
Aiden Burnley;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Tangerang;Tidak;Tidak;4;FTI
Aiden Cavanagh;Wanita;Kos;Bekerja;Orang Tua;2008;Jakarta;UKM_2;Ya;4;FTI
Aiden Coleman;Pria;Orang Tua;Belum;Orang Tua;2009;Tangerang;UKM_4;Tidak;6;FTI
Aiden Connell;Wanita;NA;Bekerja;NA;2007;Jakarta;UKM_3;Ya;6,5;FIKOM
Aiden Denton;Wanita;NA;Bekerja;NA;2009;Serang;UKM_4;Ya;6,5;FIKOM
Aiden Douglas;Wanita;Kos;Bekerja;Beasiswa;2007;Bekasi;Tidak;Tidak;4;FTI
Aiden Downing;Wanita;Kos;Bekerja;NA;2007;Jakarta;UKM_4;Ya;4;FISIP
Aiden Flett;Pria;Orang Tua;Bekerja;NA;2008;Tangerang;UKM_3;Ya;3,5;FT
Aiden Foxley;Pria;Orang Tua;Belum;Orang Tua;2008;Serang;UKM_4;Tidak;5;FTI
Aiden Gaynor;Pria;Kos;Bekerja;Orang Tua;2009;Jakarta;UKM_4;Tidak;4,5;FIKOM
Aiden Gilmour;Pria;NA;Belum;Orang Tua;2009;Bekasi;UKM_2;Ya;7;DKV
Aiden Grey;Pria;Kos;Belum;Beasiswa;2007;Bekasi;UKM_2;Ya;4;FIKOM
Aiden Hale;Wanita;Kos;Bekerja;Beasiswa;2007;Serang;UKM_2;Tidak;6,5;FTI
Aiden Harrington;Wanita;NA;Bekerja;NA;2008;Bogor;UKM_4;Tidak;5;FISIP
Aiden Harris;Wanita;Orang Tua;Bekerja;Beasiswa;2007;Serang;UKM_4;Tidak;5,5;FT
Aiden Ingram;Wanita;Orang Tua;Belum;Beasiswa;2009;Karawang;UKM_1;Ya;6,5;FTI
Aiden Jobson;Pria;Orang Tua;Belum;Orang Tua;2009;Tangerang;UKM_2;Ya;6,5;DKV
Aiden Lane;Wanita;Orang Tua;Belum;Beasiswa;2007;Karawang;UKM_3;Ya;4;FTI
Aiden Lynch;Pria;Orang Tua;Belum;Beasiswa;2009;Tangerang;UKM_3;Ya;6,5;FTI
Aiden Miller;Wanita;NA;Bekerja;Beasiswa;2009;Serang;Tidak;Tidak;5,5;FT
Aiden Olson;Pria;Orang Tua;Belum;NA;2007;Karawang;UKM_2;Ya;5;FTI
Aiden Parker;Wanita;Orang Tua;Belum;Orang Tua;2008;Bekasi;UKM_2;Tidak;5;FIKOM
Aiden Phillips;Wanita;Kos;Bekerja;Beasiswa;2007;Karawang;UKM_4;Ya;3,5;FISIP
Aiden Reese;Wanita;NA;Belum;Beasiswa;2009;Bekasi;UKM_1;Ya;6;DKV
Aiden Sanchez;Pria;Orang Tua;Belum;NA;2008;Serang;UKM_2;Tidak;5,5;FTI
Aiden Saunders;Pria;NA;Belum;Beasiswa;2009;Bekasi;UKM_2;Tidak;4;DKV
Aiden Shelton;Wanita;Orang Tua;Belum;NA;2008;Karawang;UKM_3;Ya;6,5;FT
Aiden Squire;Pria;NA;Bekerja;Beasiswa;2009;Jakarta;UKM_1;Ya;6;FIKOM
Aiden Stewart;Wanita;NA;Bekerja;Beasiswa;2007;Serang;UKM_1;Ya;4;FIKOM
Aiden Trent;Wanita;Kos;Bekerja;Beasiswa;2007;Karawang;UKM_2;Tidak;5;DKV
Aiden Vallins;Pria;Kos;Bekerja;Beasiswa;2007;Bogor;UKM_3;Tidak;5,5;FISIP
Aiden Verdon;Wanita;Orang Tua;Belum;NA;2009;Tangerang;UKM_3;Tidak;4;FISIP
Aiden Walter;Pria;Orang Tua;Belum;NA;2009;Karawang;Tidak;Tidak;4;FT
Aiden Wilkinson;Wanita;NA;Belum;Orang Tua;2009;Bekasi;UKM_1;Ya;4,5;FT
Aiden Wilson;Pria;Kos;Belum;Orang Tua;2007;Bogor;UKM_3;Ya;3,5;FT
Aiden Wright;Wanita;Kos;Belum;Orang Tua;2009;Jakarta;Tidak;Tidak;4,5;FTI
Aileen Archer;Pria;Orang Tua;Bekerja;Orang Tua;2007;Serang;UKM_4;Tidak;6;FIKOM
Aileen Bennett;Wanita;Kos;Bekerja;NA;2007;Serang;Tidak;Ya;6,5;DKV
Aileen Campbell;Pria;Orang Tua;Bekerja;NA;2009;Karawang;UKM_2;Ya;5;FIKOM
Aileen Crawford;Pria;Kos;Belum;Orang Tua;2007;Jakarta;UKM_4;Tidak;3,5;FIKOM
Aileen Daniells;Wanita;NA;Belum;Orang Tua;2008;Serang;Tidak;Tidak;5,5;FTI
Aileen Drew;Pria;NA;Belum;NA;2008;Bekasi;Tidak;Ya;6,5;FT
Aileen Dunbar;Wanita;NA;Belum;Orang Tua;2009;Bekasi;UKM_2;Tidak;5,5;FTI
Aileen Hooper;Pria;Orang Tua;Bekerja;Orang Tua;2007;Jakarta;UKM_4;Tidak;7;FISIP
Aileen Lindop;Wanita;Kos;Belum;NA;2009;Bogor;UKM_4;Tidak;3,5;FTI
Aileen Mitchell;Pria;NA;Belum;Orang Tua;2007;Bekasi;UKM_2;Tidak;7;FTI
Aileen Moore;Wanita;NA;Belum;NA;2007;Serang;UKM_2;Ya;6;DKV
Aileen Richardson;Pria;Orang Tua;Bekerja;Orang Tua;2007;Karawang;UKM_1;Tidak;6;FIKOM
Aileen Smith;Pria;NA;Belum;Beasiswa;2008;Karawang;UKM_2;Ya;6;FIKOM
Aileen Stone;Pria;Kos;Bekerja;Beasiswa;2009;Serang;UKM_3;Tidak;6,5;FIKOM
Aileen Vane;Pria;NA;Belum;NA;2008;Karawang;Tidak;Ya;5;FT
Aileen Yard;Pria;Orang Tua;Bekerja;NA;2007;Bogor;UKM_3;Tidak;5,5;FIKOM
Aisha Carson;Pria;Orang Tua;Bekerja;Orang Tua;2009;Serang;UKM_2;Ya;4;FT
Aisha Chadwick;Pria;Kos;Belum;NA;2007;Karawang;UKM_3;Tidak;6,5;FT
Aisha Denton;Wanita;Orang Tua;Bekerja;Beasiswa;2009;Serang;UKM_2;Tidak;3,5;FTI
Aisha Hamilton;Pria;Kos;Bekerja;Beasiswa;2007;Karawang;Tidak;Tidak;6,5;DKV
Aisha Judd;Wanita;Kos;Belum;Beasiswa;2008;Bekasi;UKM_3;Ya;5;FT
Aisha Kaur;Wanita;Kos;Belum;Orang Tua;2007;Karawang;Tidak;Ya;5;DKV
Aisha King;Wanita;NA;Belum;NA;2007;Bekasi;UKM_4;Tidak;6,5;FTI
Aisha Mcneill;Wanita;NA;Belum;Beasiswa;2007;Bekasi;UKM_4;Tidak;6;FIKOM
Aisha Page;Pria;Kos;Bekerja;Beasiswa;2009;Karawang;UKM_3;Tidak;4;FIKOM
Aisha Power;Wanita;Orang Tua;Belum;NA;2007;Karawang;UKM_1;Tidak;4;FIKOM
Aisha Richardson;Wanita;Kos;Belum;Beasiswa;2007;Tangerang;UKM_2;Tidak;4,5;DKV
Aisha Torres;Wanita;NA;Bekerja;Orang Tua;2009;Serang;UKM_3;Ya;5;DKV
Aisha Tutton;Pria;Orang Tua;Belum;Beasiswa;2009;Bogor;Tidak;Tidak;3,5;FT
Alan Addley;Wanita;NA;Bekerja;NA;2007;Tangerang;UKM_3;Tidak;6;DKV
Alan Aldridge;Pria;Kos;Belum;Orang Tua;2008;Bekasi;UKM_2;Tidak;4;FTI
Alan Ashwell;Wanita;Orang Tua;Bekerja;NA;2008;Karawang;UKM_3;Tidak;7;FIKOM
Alan Attwood;Wanita;NA;Belum;NA;2007;Tangerang;UKM_2;Ya;3,5;FTI
Alan Bingham;Pria;Kos;Belum;Beasiswa;2009;Serang;UKM_2;Tidak;4;FISIP
Alan Brooks;Wanita;Kos;Belum;NA;2009;Serang;UKM_2;Tidak;5;FTI
Alan Collins;Pria;Kos;Bekerja;Orang Tua;2009;Karawang;Tidak;Ya;5,5;FISIP
Alan Crawford;Wanita;NA;Bekerja;NA;2008;Bekasi;UKM_2;Ya;4;FIKOM
Alan Denton;Wanita;Orang Tua;Belum;NA;2009;Bogor;Tidak;Ya;5,5;FISIP
Alan Duvall;Wanita;Orang Tua;Belum;NA;2009;Tangerang;UKM_4;Ya;4,5;FT
Alan Edwards;Pria;Orang Tua;Bekerja;Beasiswa;2007;Bekasi;UKM_1;Ya;4,5;FTI
Alan Flett;Wanita;Orang Tua;Belum;Orang Tua;2008;Jakarta;UKM_2;Tidak;5;FISIP
Alan Forester;Pria;Orang Tua;Bekerja;Beasiswa;2009;Tangerang;UKM_3;Ya;6;FTI
Alan Gates;Wanita;Kos;Bekerja;NA;2009;Jakarta;UKM_3;Ya;3,5;FT
Alan Glynn;Pria;NA;Belum;Orang Tua;2008;Jakarta;Tidak;Ya;6;FISIP
Alan Grant;Pria;Orang Tua;Bekerja;Orang Tua;2008;Bekasi;UKM_4;Tidak;4;FT
Alan Hepburn;Pria;NA;Belum;Orang Tua;2009;Bekasi;UKM_2;Tidak;4,5;DKV
Alan Hill;Pria;Kos;Belum;NA;2008;Tangerang;UKM_1;Ya;4;FTI
